img,brand,sleeve,neck,primary_color,secondary_color,casuality,fit,pants_color,hair_color
00000_00.jpg,levi's,short sleeve,round neck,white,red,casual,tight fit,blue,brown
00001_00.jpg,levi's,short sleeve,round neck,black,red,casual,tight fit,black,brown
00002_00.jpg,unknown,long sleeve,round neck,black,unknown,casual,tight fit,black,blonde
00003_00.jpg,unknown,short sleeve,round neck,blue,unknown,casual,tight fit,black,black
00005_00.jpg,levi's,short sleeve,round neck,white,red,casual,loose fit,red,blonde
00007_00.jpg,adidas,short sleeve,round neck,light purple,white,casual,loose fit,purple,brown
00009_00.jpg,puma,short sleeve,round neck,black,white,casual,loose fit,black,black
00010_00.jpg,calvin klein,short sleeve,round neck,black,white,casual,loose fit,black,blonde
00011_00.jpg,adidas,short sleeve,round neck,black,white,casual,tight fit,black,brown
00012_00.jpg,obey,long sleeve,round neck,black,multicolored,casual,tight fit,blue,black
00014_00.jpg,unknown,long sleeve,v neck,black,unknown,casual,tight fit,black,brown
00015_00.jpg,adidas,short sleeve,round neck,gray,white,casual,tight fit,blue,black
00016_00.jpg,unknown,long sleeve,cowl neck,white,black,casual,tight fit,red,blonde
00018_00.jpg,unknown,long sleeve,v neck,black,black,casual,tight fit,black,blonde
00019_00.jpg,calvin klein,short sleeve,round neck,black,white,casual,tight fit,black,blonde
00022_00.jpg,unknown,long sleeve,v neck,unknown,unknown,casual,tight fit,black,black
00023_00.jpg,unknown,long sleeve,v neck,gray,gray,casual,tight fit,black,brown
00024_00.jpg,unknown,short sleeve,v neck,red,blue,casual,tight fit,white,brown
00025_00.jpg,unknown,long sleeve,high neck,gray,gray,casual,tight fit,black,black
00026_00.jpg,adidas,short sleeve,round neck,navy blue,light blue,casual,tight fit,blue,blonde
00028_00.jpg,guess,long sleeve,round neck,white,red,casual,loose fit,black,blonde
00029_00.jpg,levi's,short sleeve,round neck,black,pink,casual,tight fit,black,black
00030_00.jpg,adidas,short sleeve,round neck,blue,white,casual,tight fit,white,blonde
00031_00.jpg,adidas,long sleeve,round neck,red,white,casual,tight fit,red,black
00032_00.jpg,unknown,long sleeve,v neck,yellow,white,casual,loose fit,blue,brown
00033_00.jpg,unknown,long sleeve,v neck,blue,purple,casual,loose fit,black,blonde
00036_00.jpg,unknown,three quarter sleeve,mandarin collar,black,unknown,casual,tight fit,black,blonde
00038_00.jpg,lee,short sleeve,round neck,black,red,casual,loose fit,black,blonde
00040_00.jpg,calvin klein,short sleeve,round neck,white,gray,casual,tight fit,white,black
00041_00.jpg,tommy hilfiger,short sleeve,round neck,white,unknown,casual,tight fit,blue,blonde
00042_00.jpg,unknown,short sleeve,round neck,beige,red,casual,loose fit,red,blonde
00043_00.jpg,calvin klein,short sleeve,round neck,pink,light pink,casual,loose fit,pink,black
00044_00.jpg,adidas,short sleeve,round neck,purple,white,casual,tight fit,purple,brown
00045_00.jpg,pepsi,short sleeve,round neck,white,blue,casual,loose fit,blue,black
00046_00.jpg,tommy hilfiger,short sleeve,round neck,black,white,casual,tight fit,black,blonde
00047_00.jpg,villa,long sleeve,boat neck,black,white,casual,tight fit,black,black
00048_00.jpg,zalando,long sleeve,v neck,white,white,casual,tight fit,blue,brown
00049_00.jpg,champion,short sleeve,round neck,black,white,casual,loose fit,pink,black
00050_00.jpg,unknown,long sleeve,round neck,black,unknown,casual,tight fit,white,blonde
00051_00.jpg,unknown,long sleeve,v neck,white,unknown,casual,tight fit,beige,blonde
00052_00.jpg,calvin klein,short sleeve,round neck,white,black,casual,tight fit,white,blonde
00053_00.jpg,tommy hilfiger,short sleeve,round neck,navy blue,pink,casual,tight fit,blue,blonde
00054_00.jpg,levi's,short sleeve,round neck,unknown,unknown,casual,loose fit,red,blonde
00056_00.jpg,champion,long sleeve,round neck,black,white,casual,tight fit,blue,blonde
00058_00.jpg,unknown,long sleeve,boat neck,blue,white,casual,tight fit,blue,blonde
00059_00.jpg,unknown,long sleeve,v neck,pink,pink,casual,loose fit,red,black
00061_00.jpg,unknown,long sleeve,high neck,white,unknown,casual,tight fit,blue,black
00062_00.jpg,polo ralph lauren,short sleeve,polo collar,black,white,casual,tight fit,black,brown
00065_00.jpg,unknown,long sleeve,v neck,black,unknown,casual,tight fit,blue,brown
00066_00.jpg,adidas,short sleeve,round neck,pink,red,casual,loose fit,red,black
00068_00.jpg,unknown,long sleeve,v neck,white,gold,casual,tight fit,blue,blonde
00070_00.jpg,guess,short sleeve,round neck,red,white,casual,loose fit,red,black
00072_00.jpg,unknown,long sleeve,cowl neck,maroon,black,casual,tight fit,black,black
00073_00.jpg,guess,short sleeve,crew neck,white,pink,casual,tight fit,blue,black
00076_00.jpg,fila,short sleeve,round neck,white,gray,casual,loose fit,white,black
00077_00.jpg,unknown,short sleeve,v neck,black,lace,casual,tight fit,black,brown
00078_00.jpg,dkny,short sleeve,round neck,white,black,casual,tight fit,white,black
00079_00.jpg,unknown,short sleeve,circle neck,blue,pink,casual,tight fit,blue,black
00080_00.jpg,unknown,long sleeve,boat neck,dark blue,light blue,casual,tight fit,blue,brown
00082_00.jpg,unknown,long sleeve,v neck,black,unknown,casual,tight fit,black,brown
00083_00.jpg,adidas,short sleeve,round neck,yellow,fluores,casual,loose fit,yellow,black
00085_00.jpg,unknown,long sleeve,scoop neck,black,unknown,casual,tight fit,black,brown
00086_00.jpg,adidas,long sleeve,round neck,white,multicolored,casual,loose fit,black,black
00087_00.jpg,levi's,short sleeve,round neck,white,floral,casual,tight fit,blue,black
00088_00.jpg,levi's,short sleeve,round neck,white,red,casual,tight fit,blue,brown
00089_00.jpg,unknown,short sleeve,round neck,black,unknown,casual,tight fit,black,brown
00090_00.jpg,unknown,short sleeve,v neck,blue,unknown,casual,tight fit,black,brown
00091_00.jpg,levi's,short sleeve,round neck,blue,red,casual,loose fit,blue,black
00092_00.jpg,adidas,short sleeve,crew neck,white,black,casual,loose fit,black,blonde
00093_00.jpg,unknown,long sleeve,round neck,black,unknown,casual,tight fit,black,blonde
00098_00.jpg,calvin klein,short sleeve,round neck,white,white,casual,loose fit,black,blonde
00099_00.jpg,summer vibes,short sleeve,v neck,white,white,casual,loose fit,white,black
00100_00.jpg,unknown,long sleeve,v neck,blue,gray,casual,tight fit,white,blonde
00101_00.jpg,unknown,sleeveless,v neck,black,gray,casual,tight fit,green,black
00102_00.jpg,adidas,short sleeve,round neck,white,black,casual,tight fit,black,blonde
00103_00.jpg,unknown,long sleeve,round neck,black,white,casual,loose fit,black,blonde
00104_00.jpg,champion,long sleeve,mock neck,white,unknown,casual,tight fit,red,brown
00105_00.jpg,zizzi,short sleeve,round neck,black,unknown,casual,tight fit,blue,blonde
00106_00.jpg,polo,short sleeve,polo collar,black,red,casual,tight fit,black,brown
00107_00.jpg,levi's,short sleeve,round neck,red,red,casual,tight fit,black,black
00109_00.jpg,unknown,quarter length sleeves,v neck,pink,unknown,casual,tight fit,blue,blonde
00111_00.jpg,unknown,long sleeve,v neck,gray,white,casual,tight fit,blue,blonde
00113_00.jpg,unknown,short sleeve,circle neck,beige,gray,casual,tight fit,blue,blonde
00114_00.jpg,unknown,long sleeve,high neck,black,zebra_pattern,casual,tight fit,black,brown
00115_00.jpg,unknown,short sleeve,round neck,white,yellow,casual,tight fit,white,blonde
00117_00.jpg,unknown,long sleeve,round neck,white,multicolored,casual,loose fit,black,blonde
00118_00.jpg,unknown,short sleeve,v neck,white,white,casual,tight fit,blue,brown
00119_00.jpg,unknown,short sleeve,v neck,white,unknown,casual,tight fit,black,black
00120_00.jpg,pier one,short sleeve,circle neck,white,white,casual,tight fit,black,brown
00122_00.jpg,unknown,short sleeve,v neck,black,purple,party,tight fit,blue,black
00123_00.jpg,unknown,long sleeve,round neck,black,pink,casual,tight fit,red,black
00124_00.jpg,michael kors,short sleeve,crew neck,white,black,casual,loose fit,black,brown
00125_00.jpg,adidas,short sleeve,round neck,blue,pink,casual,tight fit,black,red
00128_00.jpg,lacoste,long sleeve,crew neck,white,unknown,casual,tight fit,pink,black
00129_00.jpg,calvin klein,short sleeve,round neck,red,white,casual,tight fit,white,blonde
00130_00.jpg,givenchy,long sleeve,v neck,black,white,casual,tight fit,black,brown
00131_00.jpg,unknown,long sleeve,high neck,green,gray,casual,tight fit,black,brown
00132_00.jpg,unknown,short sleeve,round neck,yellow,unknown,casual,tight fit,yellow,brown
00133_00.jpg,unknown,short sleeve,round neck,white,yellow,casual,tight fit,yellow,blonde
00134_00.jpg,desigual,long sleeve,boat neck,green,pink,casual,tight fit,black,black
00136_00.jpg,calvin klein,short sleeve,round neck,white,red,casual,loose fit,red,black
00137_00.jpg,biomi,short sleeve,high neck,white,unknown,casual,tight fit,blue,blonde
00139_00.jpg,ea7,long sleeve,round neck,white,unknown,casual,tight fit,blue,blonde
00140_00.jpg,levi's,short sleeve,round neck,white,red,casual,tight fit,blue,blonde
00143_00.jpg,guess,short sleeve,round neck,green,pink,casual,tight fit,green,black
00144_00.jpg,champion,long sleeve,hooded,white,blue,casual,tight fit,blue,blonde
00146_00.jpg,unknown,long sleeve,cowl neck,gray,red,casual,loose fit,black,brown
00147_00.jpg,unknown,long sleeve,square neck,black,unknown,casual,tight fit,black,blonde
00148_00.jpg,adidas,short sleeve,round neck,mint green,green,casual,tight fit,green,blonde
00150_00.jpg,hollister,short sleeve,polo neck,navy blue,white,casual,tight fit,blue,blonde
00153_00.jpg,piek.one,short sleeve,round neck,black,yellow,unknown,tight fit,black,brown
00154_00.jpg,sno,long sleeve,high neck,black,white,casual,tight fit,black,pink
00155_00.jpg,unknown,short sleeve,v neck,black,pink,casual,tight fit,black,brown
00156_00.jpg,unknown,sleeveless,v neck,black,unknown,casual,tight fit,black,black
00157_00.jpg,ea7,short sleeve,round neck,black,pink,casual,tight fit,black,brown
00159_00.jpg,levi's,long sleeve,round neck,gray,white,casual,tight fit,gray,black
00161_00.jpg,unknown,short sleeve,round neck,green,green,casual,loose fit,green,blonde
00162_00.jpg,unknown,long sleeve,scoop neck,navy blue,unknown,casual,tight fit,white,blonde
00163_00.jpg,adidas,short sleeve,round neck,red,white,casual,loose fit,red,black
00164_00.jpg,calvin klein,long sleeve,crew neck,pink,light pink,casual,loose fit,pink,blonde
00165_00.jpg,unknown,short sleeve,polo collar,black,red,casual,tight fit,blue,blonde
00166_00.jpg,unknown,long sleeve,high neck,white,black,casual,loose fit,black,brown
00167_00.jpg,unknown,long sleeve,boat neck,navy blue,unknown,casual,tight fit,brown,black
