,img_path,cloth_path,brand,sleeve,neck,primary_color,secondary_color,casuality,fit,pants_color,hair_color,description,bought,not_interested
0,images/00000_00.jpg,clothes/00000_00.jpg,levi's,short sleeve,round neck,white,red,casual,tight fit,blue,brown,The dress is a white Levi's T-shirt with a red logo on the front and blue jeans with a button and a small tear at the waist.,False,False
1,images/00001_00.jpg,clothes/00001_00.jpg,levi's,short sleeve,round neck,black,red,casual,tight fit,black,brown,The dress is a black t-shirt with a Levi's logo on the left chest and black leather pants with a belt.,False,False
2,images/00002_00.jpg,clothes/00002_00.jpg,,long sleeve,round neck,black,,casual,tight fit,black,blonde,"The dress is a black long-sleeved top with a round neckline and fitted fit, paired with blue jeans.",False,False
3,images/00003_00.jpg,clothes/00003_00.jpg,,short sleeve,round neck,blue,,casual,tight fit,black,black,The dress is a navy blue t-shirt with a pocket and black jeans.,False,False
4,images/00005_00.jpg,clothes/00005_00.jpg,levi's,short sleeve,round neck,white,red,casual,loose fit,red,blonde,The dress is a white Levi's T-shirt with a red logo on the front and blue and white striped pants.,False,False
5,images/00007_00.jpg,clothes/00007_00.jpg,adidas,short sleeve,round neck,light purple,white,casual,loose fit,purple,brown,"The dress is a pastel purple Adidas Originals T-shirt with white stripes on the sleeves and collar, paired with matching Adidas Originals pants.",False,False
6,images/00009_00.jpg,clothes/00009_00.jpg,puma,short sleeve,round neck,black,white,casual,loose fit,black,black,The dress is a black cropped t-shirt with white stripes on the sleeves and an orange mini skirt with a front zipper and side pockets.,False,True
7,images/00010_00.jpg,clothes/00010_00.jpg,calvin klein,short sleeve,round neck,black,white,casual,loose fit,black,blonde,The dress is a Calvin Klein Jeans black T-shirt paired with beige pants.,False,True
8,images/00011_00.jpg,clothes/00011_00.jpg,adidas,short sleeve,round neck,black,white,casual,tight fit,black,brown,The dress is a black Adidas t-shirt with a sheer skirt featuring white stripes on the sleeves and waistband.,False,False
9,images/00012_00.jpg,clothes/00012_00.jpg,obey,long sleeve,round neck,black,multicolored,casual,tight fit,blue,black,The dress is a black long-sleeved sweatshirt with colorful text on it and blue jeans.,True,False
10,images/00014_00.jpg,clothes/00014_00.jpg,,long sleeve,v neck,black,,casual,tight fit,black,brown,"A stylish black dress featuring a pleated bodice, long sleeves, and a belt at the waist.",False,True
11,images/00015_00.jpg,clothes/00015_00.jpg,adidas,short sleeve,round neck,gray,white,casual,tight fit,blue,black,"The dress is a grey Adidas T-shirt with white stripes on the sleeves and collar, paired with blue Adidas track pants featuring red stripes.",False,False
12,images/00016_00.jpg,clothes/00016_00.jpg,,long sleeve,cowl neck,white,black,casual,tight fit,red,blonde,"The dress is a white blouse with black geometric patterns, paired with a maroon skirt.",False,True
13,images/00018_00.jpg,clothes/00018_00.jpg,,long sleeve,v neck,black,black,casual,tight fit,black,blonde,"The dress is a black blouse with a tie neckline and long sleeves, paired with brown pants.",False,False
14,images/00019_00.jpg,clothes/00019_00.jpg,calvin klein,short sleeve,round neck,black,white,casual,tight fit,black,blonde,The dress is a black Calvin Klein Jeans T-shirt with a white logo and cream-colored pants.,False,True
15,images/00022_00.jpg,clothes/00022_00.jpg,,long sleeve,v neck,,,casual,tight fit,black,black,Leopard print long-sleeved top with black skirt.,False,False
16,images/00023_00.jpg,clothes/00023_00.jpg,,long sleeve,v neck,gray,gray,casual,tight fit,black,brown,Shimmering silver turtleneck with black leather pants.,False,False
17,images/00024_00.jpg,clothes/00024_00.jpg,,short sleeve,v neck,red,blue,casual,tight fit,white,brown,"The dress is a colorful striped sleeveless top with a maroon base and blue, orange, green, and yellow stripes, paired with white pants.",False,False
