filename,skin_H,skin_S,skin_V
00000_00.jpg,15,88,213
00001_00.jpg,13,81,228
00002_00.jpg,11,109,214
00003_00.jpg,11,95,199
00005_00.jpg,10,89,203
00007_00.jpg,13,88,209
00009_00.jpg,12,113,195
00010_00.jpg,12,95,207
00011_00.jpg,14,89,183
00012_00.jpg,12,108,179
00014_00.jpg,12,112,189
00015_00.jpg,11,120,191
00016_00.jpg,10,75,212
00018_00.jpg,12,125,177
00019_00.jpg,11,95,199
00022_00.jpg,12,91,198
00023_00.jpg,10,104,176
00024_00.jpg,11,134,192
00025_00.jpg,13,117,178
00026_00.jpg,11,84,199
00028_00.jpg,11,86,209
00029_00.jpg,10,139,166
00030_00.jpg,11,91,203
00031_00.jpg,14,103,202
00032_00.jpg,12,71,220
00033_00.jpg,11,104,202
00036_00.jpg,11,80,199
00038_00.jpg,13,80,221
00040_00.jpg,11,91,202
00041_00.jpg,14,72,199
00042_00.jpg,11,56,231
00043_00.jpg,13,78,208
00044_00.jpg,14,88,204
00045_00.jpg,12,108,204
00046_00.jpg,14,91,197
00047_00.jpg,13,83,199
00048_00.jpg,31,66,211
00049_00.jpg,12,121,172
00050_00.jpg,11,129,145
00051_00.jpg,11,102,213
00052_00.jpg,11,89,210
00053_00.jpg,14,92,187
00054_00.jpg,11,87,207
00056_00.jpg,15,127,174
00058_00.jpg,11,115,191
00059_00.jpg,12,80,210
00061_00.jpg,10,101,186
00062_00.jpg,12,76,209
00065_00.jpg,10,151,155
00066_00.jpg,15,108,199
00068_00.jpg,11,104,206
00070_00.jpg,11,119,189
00072_00.jpg,64,119,117
00073_00.jpg,13,84,207
00076_00.jpg,12,87,212
00077_00.jpg,14,64,221
00078_00.jpg,9,131,170
00079_00.jpg,17,117,186
00080_00.jpg,14,72,223
00081_00.jpg,9,129,176
00082_00.jpg,12,100,191
00083_00.jpg,12,121,200
00085_00.jpg,13,111,202
00086_00.jpg,13,115,183
00087_00.jpg,12,134,166
00088_00.jpg,14,85,232
00089_00.jpg,13,107,193
00090_00.jpg,15,106,189
00091_00.jpg,11,133,172
00092_00.jpg,12,89,206
00093_00.jpg,10,98,197
00098_00.jpg,11,85,218
00099_00.jpg,10,94,187
00100_00.jpg,11,86,195
00101_00.jpg,14,90,193
00102_00.jpg,12,104,194
