filename,R,G,B
00000_00.jpg,223,209,214
00001_00.jpg,40,41,45
00002_00.jpg,23,23,25
00003_00.jpg,28,31,44
00005_00.jpg,241,237,236
00007_00.jpg,210,194,204
00009_00.jpg,27,28,27
00010_00.jpg,26,28,30
00011_00.jpg,28,26,27
00012_00.jpg,27,28,30
00014_00.jpg,36,37,38
00015_00.jpg,219,219,219
00016_00.jpg,174,176,172
00018_00.jpg,35,35,37
00019_00.jpg,33,35,37
00022_00.jpg,171,167,156
00023_00.jpg,96,96,96
00024_00.jpg,77,67,73
00025_00.jpg,112,117,118
00026_00.jpg,36,44,74
00028_00.jpg,235,232,232
00029_00.jpg,48,48,49
00030_00.jpg,28,82,137
00031_00.jpg,211,34,52
00032_00.jpg,153,117,63
00033_00.jpg,70,79,101
00036_00.jpg,25,25,24
00038_00.jpg,37,34,41
00040_00.jpg,219,222,221
00041_00.jpg,238,238,237
00042_00.jpg,178,155,143
00043_00.jpg,247,228,218
00044_00.jpg,76,55,109
00045_00.jpg,217,218,219
00046_00.jpg,20,21,24
00047_00.jpg,27,28,30
00048_00.jpg,231,231,231
00049_00.jpg,36,36,38
00050_00.jpg,21,23,34
00051_00.jpg,240,239,236
00052_00.jpg,241,241,240
00053_00.jpg,35,41,51
00054_00.jpg,127,120,102
00056_00.jpg,33,33,33
00058_00.jpg,136,144,160
00059_00.jpg,201,127,140
00061_00.jpg,226,226,226
00062_00.jpg,31,32,36
00065_00.jpg,20,19,20
00066_00.jpg,250,138,147
00068_00.jpg,225,226,221
00070_00.jpg,208,35,51
00072_00.jpg,80,42,49
00073_00.jpg,244,245,244
00076_00.jpg,216,219,215
00077_00.jpg,47,47,47
00078_00.jpg,230,230,230
00079_00.jpg,55,62,123
00080_00.jpg,44,48,61
00081_00.jpg,60,45,47
00082_00.jpg,52,50,52
00083_00.jpg,238,243,36
00085_00.jpg,32,31,31
00086_00.jpg,197,204,201
00087_00.jpg,167,165,164
00088_00.jpg,229,229,225
00089_00.jpg,55,54,57
00090_00.jpg,32,43,83
00091_00.jpg,40,56,153
00092_00.jpg,208,207,208
00093_00.jpg,34,34,35
00098_00.jpg,204,204,204
00099_00.jpg,240,240,240
00100_00.jpg,37,44,70
00101_00.jpg,43,43,43
00102_00.jpg,208,208,206
00103_00.jpg,31,29,32
00104_00.jpg,243,243,242
00105_00.jpg,46,47,46
00106_00.jpg,43,42,48
00107_00.jpg,215,44,58
00109_00.jpg,227,179,180
00111_00.jpg,64,66,73
00113_00.jpg,215,209,193
00114_00.jpg,49,50,50
00115_00.jpg,242,239,230
00117_00.jpg,232,232,228
00118_00.jpg,232,231,231
00119_00.jpg,243,243,237
00120_00.jpg,235,235,235
00122_00.jpg,110,100,104
00123_00.jpg,65,47,51
00124_00.jpg,233,233,232
00125_00.jpg,83,94,115
00128_00.jpg,245,245,247
00129_00.jpg,222,14,37
00130_00.jpg,63,63,64
00131_00.jpg,39,58,59
00132_00.jpg,222,181,23
00133_00.jpg,232,232,210
00134_00.jpg,95,75,65
00136_00.jpg,221,221,223
00137_00.jpg,232,232,232
00139_00.jpg,240,239,244
00140_00.jpg,228,229,232
00143_00.jpg,8,140,128
00144_00.jpg,236,235,238
00146_00.jpg,146,138,134
00147_00.jpg,17,17,17
00148_00.jpg,191,198,191
00149_00.jpg,17,18,20
00150_00.jpg,30,38,58
00152_00.jpg,230,223,226
00153_00.jpg,27,26,22
00154_00.jpg,50,51,51
00155_00.jpg,58,59,60
00156_00.jpg,12,13,14
00157_00.jpg,50,43,51
00159_00.jpg,171,175,176
00161_00.jpg,90,92,78
00162_00.jpg,42,48,66
00163_00.jpg,221,41,57
00164_00.jpg,230,211,207
00165_00.jpg,28,29,31
00166_00.jpg,215,211,200
00167_00.jpg,37,43,59
00168_00.jpg,43,46,47
00169_00.jpg,35,36,57
00170_00.jpg,44,46,60
00171_00.jpg,247,233,230
00172_00.jpg,45,46,50
00173_00.jpg,29,30,32
00174_00.jpg,201,89,97
00175_00.jpg,237,227,219
00179_00.jpg,44,43,45
00180_00.jpg,45,49,72
00181_00.jpg,34,32,38
00182_00.jpg,58,49,41
00183_00.jpg,238,238,238
00184_00.jpg,64,62,58
00185_00.jpg,236,235,241
00186_00.jpg,205,173,71
00187_00.jpg,185,38,57
00188_00.jpg,47,44,48
00189_00.jpg,24,24,24
00191_00.jpg,242,221,224
00192_00.jpg,208,204,198
00193_00.jpg,24,25,27
00194_00.jpg,76,69,50
00195_00.jpg,33,43,59
00196_00.jpg,11,11,11
00197_00.jpg,23,24,23
00199_00.jpg,229,226,211
00200_00.jpg,212,193,173
00201_00.jpg,252,101,100
00202_00.jpg,43,43,45
00203_00.jpg,234,225,230
00204_00.jpg,24,25,27
00206_00.jpg,236,235,240
00209_00.jpg,221,76,89
00210_00.jpg,27,27,27
00211_00.jpg,240,240,240
00212_00.jpg,36,36,39
00213_00.jpg,203,162,138
00214_00.jpg,48,50,49
00215_00.jpg,52,56,69
00216_00.jpg,160,159,156
00217_00.jpg,237,237,237
00218_00.jpg,238,238,237
00219_00.jpg,132,118,100
00220_00.jpg,18,72,71
00221_00.jpg,193,181,188
00222_00.jpg,208,181,182
00224_00.jpg,243,243,241
00225_00.jpg,218,165,124
00226_00.jpg,49,41,44
00227_00.jpg,243,228,240
00228_00.jpg,237,237,232
00229_00.jpg,229,230,227
00230_00.jpg,180,139,93
00231_00.jpg,20,21,21
00232_00.jpg,46,51,76
00233_00.jpg,65,57,61
00234_00.jpg,89,72,76
00235_00.jpg,207,172,66
00236_00.jpg,230,229,226
00237_00.jpg,46,46,46
00238_00.jpg,163,155,169
00239_00.jpg,61,24,33
00240_00.jpg,182,154,174
00241_00.jpg,238,239,238
00242_00.jpg,231,231,235
00243_00.jpg,38,39,39
00244_00.jpg,23,24,28
00245_00.jpg,153,132,135
00246_00.jpg,125,102,75
00247_00.jpg,112,46,79
00248_00.jpg,43,44,45
00250_00.jpg,237,236,239
00251_00.jpg,246,89,110
00252_00.jpg,26,38,48
00253_00.jpg,44,46,42
00255_00.jpg,234,235,236
00256_00.jpg,22,22,22
00257_00.jpg,231,231,225
00258_00.jpg,106,123,153
00263_00.jpg,54,54,52
00264_00.jpg,21,21,25
00266_00.jpg,54,50,50
00267_00.jpg,25,25,25
00269_00.jpg,163,168,194
00270_00.jpg,235,236,236
00271_00.jpg,94,103,106
00275_00.jpg,47,49,80
00276_00.jpg,37,36,42
00279_00.jpg,58,58,63
00280_00.jpg,234,237,236
00281_00.jpg,216,216,216
00282_00.jpg,234,235,236
00283_00.jpg,72,74,79
00284_00.jpg,218,213,210
00285_00.jpg,197,197,202
00288_00.jpg,228,222,216
00289_00.jpg,34,31,34
00292_00.jpg,194,196,198
00293_00.jpg,145,125,115
00294_00.jpg,198,182,171
00296_00.jpg,38,92,154
00298_00.jpg,30,31,31
00299_00.jpg,227,227,236
00300_00.jpg,31,31,31
00301_00.jpg,224,207,185
00303_00.jpg,213,211,209
00304_00.jpg,82,73,58
00305_00.jpg,28,29,31
00306_00.jpg,81,84,57
00307_00.jpg,47,81,83
00308_00.jpg,22,23,25
00309_00.jpg,32,35,37
00310_00.jpg,143,143,146
00313_00.jpg,29,30,30
00314_00.jpg,25,26,28
00315_00.jpg,43,56,68
00316_00.jpg,107,122,140
00317_00.jpg,45,86,84
00318_00.jpg,36,35,36
00319_00.jpg,242,243,242
00320_00.jpg,44,49,74
00321_00.jpg,83,91,87
00322_00.jpg,19,19,22
00323_00.jpg,61,135,134
00324_00.jpg,234,234,235
00325_00.jpg,167,65,110
00327_00.jpg,30,35,46
00328_00.jpg,50,43,36
00329_00.jpg,238,238,238
00331_00.jpg,213,221,221
00332_00.jpg,218,179,162
00334_00.jpg,80,68,52
00335_00.jpg,230,219,209
00336_00.jpg,41,39,39
00337_00.jpg,28,29,29
00338_00.jpg,24,42,40
00340_00.jpg,25,30,45
00341_00.jpg,215,185,188
00342_00.jpg,98,91,64
00343_00.jpg,195,224,173
00344_00.jpg,158,85,50
00346_00.jpg,47,47,48
00347_00.jpg,51,55,68
00350_00.jpg,229,223,219
00351_00.jpg,195,196,198
00352_00.jpg,15,16,18
00354_00.jpg,153,115,80
00355_00.jpg,28,29,31
00356_00.jpg,212,51,54
00357_00.jpg,223,187,67
00358_00.jpg,48,48,51
00359_00.jpg,194,222,243
00360_00.jpg,104,106,99
00361_00.jpg,62,31,39
00362_00.jpg,31,30,28
00363_00.jpg,108,102,106
00364_00.jpg,35,35,35
00365_00.jpg,182,224,240
00366_00.jpg,245,154,197
00367_00.jpg,218,184,195
00368_00.jpg,30,29,53
00369_00.jpg,229,223,216
00370_00.jpg,69,86,113
00371_00.jpg,18,20,21
00372_00.jpg,39,39,39
00374_00.jpg,237,237,233
00375_00.jpg,236,236,235
00377_00.jpg,235,236,232
00378_00.jpg,225,223,215
00379_00.jpg,70,72,71
00380_00.jpg,191,226,213
00381_00.jpg,107,104,106
00382_00.jpg,137,118,84
00383_00.jpg,17,17,17
00384_00.jpg,73,57,59
00385_00.jpg,141,136,136
00386_00.jpg,31,29,35
00387_00.jpg,28,27,25
00388_00.jpg,225,224,227
00389_00.jpg,63,54,53
00390_00.jpg,239,238,236
00391_00.jpg,193,172,170
00392_00.jpg,43,91,88
00393_00.jpg,194,195,196
00394_00.jpg,222,222,221
00398_00.jpg,153,120,88
00399_00.jpg,41,40,45
00402_00.jpg,39,39,39
00403_00.jpg,204,85,87
00404_00.jpg,187,180,222
00405_00.jpg,216,223,226
00406_00.jpg,190,190,192
00407_00.jpg,187,187,187
00408_00.jpg,122,20,50
00409_00.jpg,179,55,43
00410_00.jpg,106,103,106
00411_00.jpg,221,111,119
00412_00.jpg,100,95,107
00413_00.jpg,238,238,238
00414_00.jpg,224,221,221
00415_00.jpg,41,41,42
00416_00.jpg,35,37,41
00417_00.jpg,96,86,59
00418_00.jpg,34,33,38
00419_00.jpg,42,43,37
00420_00.jpg,47,52,75
00421_00.jpg,111,154,212
00423_00.jpg,101,102,103
00424_00.jpg,237,237,237
00425_00.jpg,77,38,42
00426_00.jpg,36,41,64
00427_00.jpg,31,33,32
00429_00.jpg,26,27,29
00431_00.jpg,240,228,224
00432_00.jpg,51,49,44
00433_00.jpg,227,230,229
00434_00.jpg,72,75,81
00435_00.jpg,42,41,47
00436_00.jpg,133,132,131
00437_00.jpg,233,233,237
00438_00.jpg,222,223,221
00439_00.jpg,249,220,82
00441_00.jpg,65,65,65
00442_00.jpg,38,38,39
00443_00.jpg,168,152,125
00444_00.jpg,25,27,26
00445_00.jpg,180,130,133
00446_00.jpg,234,234,233
00447_00.jpg,36,36,36
00448_00.jpg,230,187,62
00449_00.jpg,50,33,39
00450_00.jpg,84,85,83
00451_00.jpg,162,65,90
00452_00.jpg,177,179,176
00453_00.jpg,225,210,211
00454_00.jpg,243,243,242
00455_00.jpg,89,34,38
00456_00.jpg,245,245,243
00457_00.jpg,30,30,31
00459_00.jpg,226,223,218
00461_00.jpg,91,78,116
00464_00.jpg,43,42,46
00465_00.jpg,38,40,42
00467_00.jpg,229,221,219
00469_00.jpg,43,38,37
00471_00.jpg,200,169,131
00472_00.jpg,220,221,219
00473_00.jpg,33,36,52
00476_00.jpg,15,15,15
00477_00.jpg,42,42,43
00478_00.jpg,242,244,242
00479_00.jpg,22,22,24
00480_00.jpg,228,228,227
00481_00.jpg,176,177,179
00483_00.jpg,216,45,47
00485_00.jpg,60,55,52
00486_00.jpg,36,41,65
00488_00.jpg,25,28,39
00489_00.jpg,45,46,44
00490_00.jpg,21,22,21
00491_00.jpg,111,98,84
00492_00.jpg,237,186,194
00493_00.jpg,58,60,71
00495_00.jpg,32,32,32
00497_00.jpg,37,36,34
00498_00.jpg,235,234,228
00500_00.jpg,229,168,74
00501_00.jpg,213,224,235
00505_00.jpg,232,202,109
00506_00.jpg,175,142,107
00507_00.jpg,53,52,58
00508_00.jpg,54,165,163
00510_00.jpg,40,38,44
00511_00.jpg,37,37,40
00512_00.jpg,40,49,59
00513_00.jpg,219,217,213
00514_00.jpg,153,154,156
00515_00.jpg,77,82,89
00517_00.jpg,36,36,35
00519_00.jpg,26,25,26
00522_00.jpg,24,25,26
00523_00.jpg,34,40,50
00524_00.jpg,244,244,246
00526_00.jpg,23,27,28
00527_00.jpg,234,234,235
00528_00.jpg,195,167,47
00529_00.jpg,218,222,103
00530_00.jpg,242,241,241
00531_00.jpg,231,233,236
00532_00.jpg,186,188,189
00533_00.jpg,197,197,185
00534_00.jpg,230,230,233
00535_00.jpg,241,242,235
00537_00.jpg,25,28,40
00538_00.jpg,44,45,44
00539_00.jpg,33,58,60
00540_00.jpg,221,78,83
00541_00.jpg,236,236,236
00542_00.jpg,16,16,16
00543_00.jpg,18,19,18
00544_00.jpg,38,37,52
00545_00.jpg,215,218,212
00546_00.jpg,8,10,7
00547_00.jpg,30,31,31
00548_00.jpg,30,30,32
00549_00.jpg,44,46,36
00550_00.jpg,172,170,170
00551_00.jpg,48,51,53
00552_00.jpg,221,216,205
00553_00.jpg,228,228,226
00554_00.jpg,242,236,232
00555_00.jpg,24,26,25
00556_00.jpg,23,25,24
00557_00.jpg,238,238,237
00558_00.jpg,109,135,147
00559_00.jpg,48,47,47
00560_00.jpg,202,195,178
00561_00.jpg,162,156,151
00562_00.jpg,51,70,104
00564_00.jpg,30,31,35
00565_00.jpg,171,83,78
00567_00.jpg,30,30,32
00569_00.jpg,77,80,93
00570_00.jpg,29,30,32
00571_00.jpg,75,41,51
00572_00.jpg,81,70,42
00573_00.jpg,245,245,243
00574_00.jpg,23,24,25
00575_00.jpg,123,38,55
00576_00.jpg,39,35,40
00577_00.jpg,166,152,147
00578_00.jpg,207,161,103
00580_00.jpg,233,233,232
00581_00.jpg,240,239,243
00582_00.jpg,42,49,62
00584_00.jpg,18,19,18
00585_00.jpg,216,176,185
00586_00.jpg,238,238,235
00587_00.jpg,242,241,242
00588_00.jpg,242,241,242
00589_00.jpg,82,63,65
00590_00.jpg,168,11,29
00591_00.jpg,76,77,82
00593_00.jpg,49,47,50
00594_00.jpg,71,83,109
00595_00.jpg,223,55,98
00596_00.jpg,219,149,50
00597_00.jpg,26,33,47
00598_00.jpg,13,13,15
00601_00.jpg,48,55,61
00602_00.jpg,213,185,153
00603_00.jpg,191,192,197
00604_00.jpg,42,39,44
00605_00.jpg,237,238,239
00606_00.jpg,47,49,63
00607_00.jpg,118,122,108
00608_00.jpg,57,57,56
00610_00.jpg,235,223,163
00612_00.jpg,194,197,217
00613_00.jpg,216,178,148
00614_00.jpg,30,28,32
00616_00.jpg,19,21,22
00618_00.jpg,30,30,30
00619_00.jpg,238,234,225
00621_00.jpg,234,234,232
00622_00.jpg,236,86,69
00623_00.jpg,7,8,8
00625_00.jpg,205,205,204
00626_00.jpg,30,32,44
00628_00.jpg,127,126,131
00629_00.jpg,54,67,68
00630_00.jpg,239,238,238
00631_00.jpg,73,74,76
00632_00.jpg,47,47,47
